GMSTPETM,GMSTprePETM
33.2738977,27.62716466
33.35099903,27.61583746
33.52164348,27.70743122
33.573564,27.71881367
33.6062194,27.83128547
33.53744926,27.77876994
33.56414872,27.75644375
33.58158923,27.80254879
33.62088542,27.79409452
33.54177924,27.73315004
33.57235865,27.79394079
33.60587535,27.7991291
34.08722523,28.55569613
34.17610891,28.65696655
34.13474687,28.55837942
34.11111976,28.58790079
34.2037595,28.59459715
34.16346432,28.57196163
34.16947916,28.55894979
34.19716588,28.56893238
34.13642268,28.5966552
34.12618431,28.55166455
34.12559896,28.55397471
34.05640491,28.51098494
34.59540071,29.26539297
34.60683969,29.20541289
34.60478067,29.1433095
34.59096399,29.11958966
34.59129414,29.10410578
34.63456017,29.13083392
34.59016887,29.07885592
34.55247332,29.08362454
34.56773617,29.05145099
34.57036719,29.0887145
34.57173742,29.09534183
34.57647115,29.06503076
33.72721675,27.93403401
33.71763558,27.87667283
33.74451463,27.96644876
34.23649355,28.55107526
34.26322861,28.58911511
34.26980395,28.63699057
34.71798604,29.12535215
34.79101024,29.16957476
34.75712686,29.1457644
33.21183898,27.72318227
33.24497397,27.67391079
34.08077336,28.22416004
34.04946202,28.31210301
33.53640398,27.70595874
33.51186687,27.7454795
33.9984406,28.49796349
33.99392854,28.50894605
34.35188415,28.70753361
34.42605493,28.76472684
34.30761605,28.54210693
34.31117474,28.57161249
34.94307946,29.36160032
34.9782699,29.4050434
34.99236329,29.41176576
35.01116666,29.42992403
35.00276006,29.43429899
34.98281585,29.46733713
34.91436604,29.42592846
34.94098446,29.42102099
34.9723174,29.48431196
35.19766586,29.73552603
35.33672169,29.82641006
35.47553207,30.02115705
35.58163719,30.11634312
35.63193374,30.21840261
35.75374641,30.33160515
